intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
0.966374,0.006914,-0.887444,0.117586,0.075636,0.033650,0.898745,0.212372,1.220162,0.293869,-1.134440,0.295555,0.001500,0.88,-0.835,17.8
0.969173,0.006439,0.122371,0.107947,0.100900,0.031855,0.941261,0.195292,1.054760,0.270119,-0.620455,0.271096,0.001500,0.65,-0.725,17.8
0.995277,0.007515,-1.161529,0.127814,0.037032,0.037490,0.651455,0.232722,1.977670,0.317818,-1.052769,0.319750,0.001500,0.88,-0.725,17.8
0.998368,0.006679,-0.010522,0.112276,0.016547,0.033269,0.166265,0.208667,0.456736,0.280857,-0.146751,0.281076,0.001500,0.65,-0.615,17.8
0.967377,0.007723,-1.148882,0.131543,-0.028104,0.038440,0.605083,0.241911,0.846910,0.326806,-1.415828,0.328797,0.001500,0.88,-0.615,17.8
0.976316,0.006716,0.154857,0.111163,0.031787,0.033342,0.259868,0.208222,0.583723,0.287961,-0.323860,0.288498,0.001500,0.65,-0.505,17.8
1.048988,0.009059,-1.157094,0.154334,-0.069354,0.045614,0.081195,0.286257,1.886313,0.383944,-0.675472,0.385571,0.001500,0.88,-0.505,17.8
0.976093,0.007042,0.095167,0.118688,-0.037518,0.035055,0.067948,0.219267,1.298692,0.298630,-0.971839,0.300108,0.001500,0.65,-0.395,17.8
0.953380,0.008932,-0.876755,0.151016,-0.043229,0.044596,0.074747,0.277799,1.178058,0.383384,-0.385870,0.384263,0.001500,0.88,-0.395,17.8
1.019265,0.007584,0.466213,0.127111,-0.016143,0.037876,0.074338,0.233983,0.019994,0.318293,-1.005318,0.319064,0.001500,0.65,-0.285,17.8
0.994033,0.010034,-0.685870,0.172452,-0.094494,0.051011,0.150648,0.310358,1.233574,0.417897,-0.802847,0.419591,0.001500,0.88,-0.285,17.8
0.995287,0.007647,0.513769,0.126693,-0.016193,0.038412,0.507809,0.235826,0.415267,0.323970,-0.743483,0.324840,0.001500,0.65,-0.175,17.8
1.046283,0.011242,-1.007596,0.193093,-0.236483,0.057565,-0.699628,0.354389,1.913790,0.488019,-1.055858,0.490462,0.001500,0.88,-0.175,17.8
0.992583,0.007755,0.446763,0.131380,-0.090276,0.039057,-0.133029,0.243700,0.748432,0.327349,-0.664056,0.328322,0.001500,0.65,-0.065,17.8
0.990767,0.010943,-0.500058,0.185619,-0.066858,0.055120,0.098124,0.343525,1.256816,0.465370,-0.361622,0.466685,0.001500,0.88,-0.065,17.8
0.998926,0.007930,0.534183,0.132646,-0.025394,0.039860,0.025880,0.247515,0.804155,0.335992,-0.400044,0.336875,0.001500,0.65,0.045,17.8
1.006062,0.011489,-0.288662,0.195555,-0.174723,0.059027,0.133466,0.358539,1.328773,0.494761,-0.550048,0.496527,0.001500,0.88,0.045,17.8
1.022140,0.006966,0.246426,0.115000,0.185520,0.033643,0.893857,0.212369,0.680661,0.293130,0.027148,0.293396,0.001500,0.65,-0.945,23.8
1.007827,0.004973,-0.718440,0.082936,0.158452,0.024101,0.854279,0.151934,1.064180,0.211471,-0.855741,0.212193,0.001500,0.88,-0.945,23.8
1.007777,0.006920,0.272599,0.114344,0.163388,0.033722,1.064254,0.213144,0.160587,0.288395,-0.831560,0.288885,0.001500,0.65,-0.835,23.8
1.001922,0.005628,-0.683548,0.095016,0.086274,0.027611,0.842198,0.174399,0.972399,0.237658,-0.769165,0.238533,0.001500,0.88,-0.835,23.8
1.030928,0.006684,0.401334,0.111011,0.098701,0.033119,0.658340,0.206072,0.406853,0.279212,-0.904044,0.280232,0.001500,0.65,-0.725,23.8
0.997710,0.005715,-0.836714,0.097159,0.041166,0.028282,0.419259,0.177658,1.661835,0.241158,-0.743093,0.242194,0.001500,0.88,-0.725,23.8
0.984240,0.006206,0.285965,0.103169,0.069739,0.030562,0.716907,0.192903,0.659603,0.266025,-0.354948,0.266581,0.001500,0.65,-0.615,23.8
