intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
0.868506,0.025281,0.443454,0.396202,0.192143,0.121410,0.653846,0.796454,-0.580375,1.009985,-1.946122,1.015961,0.001500,0.88,-0.835,17.8
0.941201,0.011200,1.016692,0.180130,0.151145,0.052142,0.923984,0.335452,0.746919,0.482371,-1.041524,0.485067,0.001500,0.65,-0.725,17.8
0.914303,0.028417,0.461950,0.465796,0.205188,0.131757,1.550558,0.825088,1.085438,1.173729,-1.426097,1.182963,0.001500,0.88,-0.725,17.8
1.016535,0.012737,1.101927,0.200299,0.092709,0.060906,1.564416,0.378714,0.075905,0.540192,-0.894924,0.541909,0.001500,0.65,-0.615,17.8
0.957125,0.031797,-0.055145,0.511684,-0.139094,0.156813,0.761227,0.910577,0.020985,1.407810,-0.204600,1.409799,0.001500,0.88,-0.615,17.8
0.962755,0.012138,0.686912,0.192648,-0.027515,0.058729,1.023018,0.369098,0.317040,0.556494,0.182951,0.556812,0.001500,0.65,-0.505,17.8
1.115087,0.035769,2.204246,0.558629,-0.231824,0.180139,-0.241160,1.064332,-0.670410,1.458541,-2.070426,1.464152,0.001500,0.88,-0.505,17.8
0.942646,0.011780,1.388766,0.191605,-0.148906,0.057484,0.800902,0.359399,-0.094317,0.496544,-0.244532,0.497477,0.001500,0.65,-0.395,17.8
0.875482,0.028323,0.757817,0.468868,-0.113228,0.140159,2.348090,0.860267,-0.405644,1.106905,-1.096093,1.107947,0.001500,0.88,-0.395,17.8
0.951696,0.011989,1.122142,0.191623,-0.089184,0.058195,0.773851,0.364354,0.744017,0.519904,-0.406326,0.521754,0.001500,0.65,-0.285,17.8
1.052826,0.033602,1.360508,0.544402,-0.358311,0.171343,1.894303,1.071859,1.683639,1.380386,-0.305685,1.390158,0.001500,0.88,-0.285,17.8
0.913161,0.011954,1.268937,0.191562,-0.093258,0.057453,0.184491,0.364332,0.200370,0.518067,-0.292273,0.518940,0.001500,0.65,-0.175,17.8
0.889466,0.027623,1.110181,0.435459,-0.188605,0.136463,-0.010139,0.882949,-1.083581,1.174017,-0.598971,1.175409,0.001500,0.88,-0.175,17.8
1.035890,0.014295,1.508889,0.231305,-0.129939,0.068737,-0.399681,0.439687,-0.070002,0.609777,0.119323,0.610800,0.001500,0.65,-0.065,17.8
1.019031,0.033628,0.716488,0.549984,-0.177450,0.166130,-1.007292,1.041191,2.298200,1.261486,-1.908089,1.271428,0.001500,0.88,-0.065,17.8
1.012261,0.014440,1.566207,0.234028,-0.113550,0.069861,-0.778298,0.446192,0.811769,0.642230,0.646981,0.642984,0.001500,0.65,0.045,17.8
0.928349,0.032896,0.583270,0.540499,-0.460724,0.168339,-3.291777,1.046872,1.021842,1.423107,2.005229,1.421379,0.001500,0.88,0.045,17.8
