real    0m10,293s
user    0m10,410s
sys     0m0,492s

Mon Mar 13 07:34:44 2023    output.dat

         289976 function calls (284001 primitive calls) in 9.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      212    0.000    0.000    0.023    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2992(_reload_version)
      279    0.000    0.000    0.787    0.003 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        1    0.000    0.000    8.181    8.181 /usr/lib/python3/dist-packages/scipy/optimize/_lbfgsb_py.py:212(_minimize_lbfgsb)
     2410    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2358(_normalize_cached)
      392    0.000    0.000    0.001    0.000 /usr/lib/python3.10/genericpath.py:39(isdir)
       30    0.000    0.000    0.073    0.002 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:601(add_entry)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
    148/3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1370(_parseNoCache)
    111/5    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3319(streamline)
      138    0.000    0.000    0.948    0.007 <__array_function__ internals>:2(histogram2d)
      186    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1615(_get)
      186    0.000    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1408(get_metadata)
      276    0.000    0.000    0.788    0.003 <__array_function__ internals>:2(searchsorted)
        1    0.000    0.000    0.022    0.022 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:102(arrays_to_mgr)
      133    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3260(__init__)
      273    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:140(basename)
      276    0.000    0.000    0.788    0.003 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:1283(searchsorted)
       45    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       65    0.000    0.000    0.027    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      221    0.000    0.000    0.017    0.000 {built-in method builtins.next}
       65    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
        5    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/dataset.py:800(__setitem__)
      129    0.000    0.000    0.013    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2789(activate)
       53    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       16    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/filters.py:338(guess_chunk)
      279    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(any)
      160    0.000    0.000    0.064    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/PhysicsTunes.py:103(Get)
      160    0.000    0.000    0.018    0.000 <__array_function__ internals>:2(concatenate)
       26    0.000    0.000    0.002    0.000 /usr/lib/python3.10/traceback.py:338(extract)
      320    0.000    0.000    0.001    0.000 /usr/lib/python3.10/genericpath.py:16(exists)
      138    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:1718(ravel)
       16    0.000    0.000    0.004    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/group.py:69(create_dataset)
      216    0.000    0.000    0.003    0.000 /usr/lib/python3.10/functools.py:884(wrapper)
      108    0.000    0.000    0.013    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:149(ones)
      296    0.000    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1401(has_metadata)
      407    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1587(_is_dtype_type)
       54    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      106    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2314(file_ns_handler)
      186    0.000    0.000    0.010    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1421(get_metadata_lines)
      138    0.000    0.000    0.030    0.000 <__array_function__ internals>:2(bincount)
      276    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(diff)
