Mon Apr  3 16:01:39 2023    output.dat

         348330 function calls (343552 primitive calls) in 3.735 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   500/45    0.003    0.000    0.006    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
      490    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      488    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      472    0.001    0.000    0.004    0.000 /usr/lib/python3.10/copy.py:66(copy)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      471    0.000    0.000    0.004    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1167(copy)
      471    0.000    0.000    0.000    0.000 /usr/lib/python3.10/copyreg.py:100(__newobj__)
      471    0.001    0.000    0.002    0.000 /usr/lib/python3.10/copy.py:259(_reconstruct)
      468    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2153(__str__)
      454    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      442    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      441    0.001    0.000    0.027    0.000 /usr/lib/python3.10/re.py:288(_compile)
      438    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1022(<genexpr>)
      436    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
  433/414    0.000    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:306(inner)
      427    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1031(__eq__)
      426    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/numpy/core/_internal.py:642(next)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      415    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      407    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3581(<genexpr>)
      407    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1587(_is_dtype_type)
  402/380    0.039    0.000    0.046    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      400    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      396    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/boost_histogram/_internal/hist.py:81(<genexpr>)
      390    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      385    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      384    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      384    0.000    0.000    0.000    0.000 /usr/lib/python3.10/pkgutil.py:407(get_importer)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      368    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      366    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
      366    0.002    0.000    0.012    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2066(<genexpr>)
      366    0.001    0.000    0.091    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2046(find_on_path)
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      362    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      360    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      355    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      352    0.001    0.000    0.019    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2199(_handle_ns)
      350    0.000    0.000    0.001    0.000 /usr/lib/python3.10/genericpath.py:16(exists)
  349/345    0.004    0.000    0.026    0.000 {built-in method builtins.__build_class__}
      348    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      348    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:202(sub)
      339    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2159(streamline)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      337    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:140(basename)
      336    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:675(add)
      336    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1309(safe_name)
      336    0.001    0.000    0.019    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2041(<listcomp>)
      336    0.001    0.000    0.020    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2035(_by_version)
      336    0.001    0.000    0.011    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2578(__init__)
      336    0.002    0.000    0.040    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2591(from_location)
      335    0.003    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1144(__init__)
      332    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      328    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      326    0.000    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1401(has_metadata)
      326    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1603(_has)
      323    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      321    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/numpy/core/_internal.py:619(advance)
      315    0.001    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1429(is_extension_array_dtype)
      315    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      315    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      315    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      309    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      309    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      306    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1934(__init__)
      302    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:137(_type_convert)
   300/48    0.006    0.000    0.017    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
  299/190    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1037(__hash__)
      293    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      289    0.000    0.000    0.001    0.000 {built-in method _warnings.warn}
   289/11    0.000    0.000    0.254    0.023 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      288    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:146(_type_check)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      282    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/numpy/core/_internal.py:646(__bool__)
      277    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:155(<lambda>)
      277    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:150(classes_and_not_datetimelike)
      271    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:680(is_integer_dtype)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      266    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3270(<genexpr>)
      249    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:169(__setitem__)
      240    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:82(groups)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
  232/231    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      228    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2692(kind)
